ID Tarifa;Continente;Pais;Moneda (ISO)
E0;Europe;Croatia;EUR
E0;Europe;Denmark;EUR
E0;Europe;Slovakia;EUR
E0;Europe;Slovenia;EUR
00;Europe;Spain;EUR
E0;Europe;Estonia;EUR
E0;Europe;Finland;EUR
E0;Europe;France;EUR
E0;Europe;Greece;EUR
E0;Europe;Hungary;EUR
E0;Europe;Ireland;EUR
E0;Europe;Iceland;EUR
E0;Europe;Italy;EUR
E0;Europe;Kosovo;EUR
E0;Europe;Latvia;EUR
E0;Europe;Liechtenstein;EUR
E0;Europe;Lithuania;EUR
E0;Europe;Luxembourg;EUR
E0;Europe;Malta;EUR
E0;Europe;Moldova;EUR
E0;Europe;Monaco;EUR
E0;Europe;Montenegro;EUR
E0;Europe;Norway;EUR
E0;Europe;Netherlands;EUR
P1;Europe;Poland;PLN
00;Europe;Portugal;EUR
30;Europe;United Kingdom;GBP
72;Europe;Czech Republic;CZK
E0;Europe;Romania;EUR
E0;Europe;San Marino;EUR
E0;Europe;Serbia;EUR
E0;Europe;Sweden;EUR
E0;Europe;Switzerland;EUR
E0;Europe;Ukraine;EUR
E0;Europe;Vatican City;EUR
E0;Oceania;Australia;EUR
E0;Oceania;Fiji;EUR
E0;Oceania;Marshall Islands;EUR
E0;Oceania;Solomon Islands;EUR
E0;Oceania;Kiribati;EUR
E0;Oceania;Micronesia;EUR
E0;Oceania;Nauru;EUR
E0;Oceania;New Zealand;EUR
E0;Oceania;Palau;EUR
E0;Oceania;Papua New Guinea;EUR
E0;Oceania;Samoa;EUR
E0;Oceania;Tonga;EUR
E0;Oceania;Tuvalu;EUR
E0;Oceania;Vanuatu;EUR
